study_id,title,domain_psy,domain_edu,domain_beh,domain_ha,arch_deb,arch_soc,arch_game,arch_grdw,arch_pipe,component_role,component_mem,component_grd,component_ref,component_con,eval_cv,eval_rel,eval_br,eval_ped,eval_safe,human_validation,coding_status
M020,MAS-KCL: Knowledge Component Graph Structure Learning with Large Language Model-Based Agentic Workflow,,Yes,,,,,,,Yes,,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
M021,KoACD: The First Korean Adolescent Dataset for Cognitive Distortion Analysis via Role-Switching Multi-LLM Negotiation,Yes,Yes,Yes,,,,Yes,,,Yes,,,,,Yes,Yes,,Yes,Yes,Yes,Conservative title/abstract coding; full-text verification required
M022,LLM-Based Agent Society Investigation: Collaboration and Confrontation in Avalon Gameplay,,,Yes,,,Yes,Yes,,,,,,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
M023,AI-Powered Automatic Item Generation for Psychological Tests: A Conceptual Framework for an LLM-Based Multi-Agent AIG System,Yes,Yes,,,,,,,Partial,,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
M024,Too Costly or Worth the Effort? Exploring University Students’ Perceptions of a Multi-Agent Debate System in Argumentative Writing,,Yes,,,Yes,,,,Partial,,,,Yes,,,,,,,,Conservative title/abstract coding; full-text verification required
M025,Knowledge Tagging with Large Language Model Based Multi-Agent System,,Yes,,,,,,,Partial,,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
M026,ERD: A Framework for Improving LLM Reasoning for Cognitive Distortion Classification,Yes,,,,Yes,,,,,,,,Yes,,Yes,,,,Yes,,Conservative title/abstract coding; full-text verification required
M027,SocraticLM: Exploring Socratic Personalized Teaching with Large Language Models,,Yes,,,,Yes,,Yes,Yes,Yes,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
M028,Judging with Many Minds: Do More Perspectives Mean Less Prejudice? On Bias Amplification and Resistance in Multi-Agent Based LLM-as-Judge,,,,,Yes,,,,,,,,Yes,,,,,,Yes,Yes,Conservative title/abstract coding; full-text verification required
M029,ALYMPICS: LLM Agents Meet Game Theory,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
M030,Simulating Social Behavior of LLM-Based Autonomous Negotiator Agents in a Game-Theoretical Framework Using Multi-Agent Systems,,,Yes,,,,Yes,,,,,,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
M031,Designing for Oversight: An Empirical Investigation of the Dual Impact of AI Dependency and Information Abstraction on Human Supervision in Decision-Making Teams,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Conservative title/abstract coding; full-text verification required
M032,Assessing Critical Thinking through a Multi-Agent LLM-Based Debate Chatbot,,Yes,,,Yes,,,,,,,,Yes,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
M033,Conversational Education at Scale: A Multi-LLM Agent Workflow for Procedural Learning and Pedagogic Quality Assessment,,Yes,,,,,,Yes,Yes,,,Yes,,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
M034,PersonaGym: Evaluating Persona Agents and LLMs,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,Yes,,,,,Conservative title/abstract coding; full-text verification required
M035,Training Language Models for Social Deduction with Multi-Agent Reinforcement Learning,,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
M036,AI-LIEDAR: Examine the Trade-off Between Utility and Truthfulness in LLM Agents,Yes,,,Yes,,,,,,,,,,,,,,,Yes,,Conservative title/abstract coding; full-text verification required
M037,Cognitively Diverse Multiple-Choice Question Generation: A Hybrid Multi-Agent Framework with Large Language Models,,Yes,,,,,,,Partial,,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
M038,Exploring System-Wide Trust Prevalence and Mitigation Strategies with Multiple Autonomous Agents,,,,Yes,,,,,,,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
M039,"Exploring Personalized Health Support through Data-Driven, Theory-Guided LLMs: A Case Study in Sleep Health",Yes,,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
M040,Multi-Examiner: A Knowledge Graph-Driven System for Generating Comprehensive Questions with Higher-Order Thinking,,,,,,,,Yes,,,,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
M041,"DO AS WE DO, NOT AS YOU THINK: THE CONFORMITY OF LARGE LANGUAGE MODELS",,Yes,Yes,,,Yes,,,,Yes,,,Yes,,,,Yes,,Yes,,Conservative title/abstract coding; full-text verification required
M042,Shall We Team Up: Exploring Spontaneous Cooperation of Competing LLM Agents,,,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
M043,HUMAN SIMULACRA: BENCHMARKING THE PERSONIFICATION OF LARGE LANGUAGE MODELS,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
M044,Modeling Social Opinion Evolution with LLM Agents: Integrating Personality Traits with Embedded Opinion Dynamics,Yes,,Yes,,,Yes,,Yes,,Yes,,Yes,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
M045,LLM-based Collaborative Agents with Pedagogy-guided Interaction Modeling for Timely Instructive Feedback Generation in Task-oriented Group Discussions,,Yes,,,,,,Yes,,,,Yes,,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
M046,ToP-ToM: Trust-aware Robot Policy with Theory of Mind,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,Conservative title/abstract coding; full-text verification required
M047,Dynamic Personality in LLM Agents: A Framework for Evolutionary Modeling and Behavioral Analysis in the Prisoner's Dilemma,Yes,Yes,Yes,,,Yes,Yes,,Partial,Yes,,,,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
M048,Exploring Collaboration Mechanisms for LLM Agents: A Social Psychology View,Yes,,Yes,,Yes,Yes,,,,,,,Yes,Yes,,,Yes,,,,Conservative title/abstract coding; full-text verification required
M049,EduPlanner: LLM-Based Multi-Agent Systems for Customized and Intelligent Instructional Design,,,,,,,,,,,,,,,,,,,,,No safe title/abstract coding; full-text verification required
M050,K-Level Reasoning: Establishing Higher Order Beliefs in Large Language Models for Strategic Reasoning,,,Yes,Yes,,,Yes,,,,,,,,Yes,,,,,,Conservative title/abstract coding; full-text verification required
M051,"PsySafe: A Comprehensive Framework for Psychological-based Attack, Defense, and Evaluation of Multi-agent System Safety",Yes,Yes,,,,Yes,,Yes,Partial,Yes,,,Yes,,,,,Yes,Yes,,Conservative title/abstract coding; full-text verification required
M052,Spiral of Silence in Large Language Model Agents,Yes,,Yes,,,Yes,,,,Yes,Yes,,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
M053,"SOTOPIA-S<sup>4</sup>: a user-friendly system for flexible, customizable, and large-scale social simulation",,,Yes,,,Yes,Yes,,,,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
C001,TACLA: An LLM-Based Multi-Agent Tool for Transactional Analysis Training in Education,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,,,,,,,,,Conservative title/abstract coding; full-text verification required
C002,SSRLBot: Designing and Developing a Large Language Model-Based Agent Using Socially Shared Regulated Learning,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
C003,Designing an Educational Virtual Assistant Based on Agentic AI for Student Diagnosis and Individualized Remediation,,Yes,,,,,,,,,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
C004,Simulating Classroom Education with LLM-Empowered Agents,,Yes,,,,,,,,Yes,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
C005,ENHANCING EDUCATIONAL FEEDBACK WITH LLM-POWERED MULTI-AGENT SYSTEMS,,Yes,,,,Yes,,,Yes,Yes,,,,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
C006,Simulating Collaborative Learning with Data-Driven LLM-Agents,,Yes,,,,,,,,,,,,Yes,,,,,,Yes,Conservative title/abstract coding; full-text verification required
C007,PsychoGAT: A Novel Psychological Measurement Paradigm through Interactive Fiction Games with LLM Agents,Yes,Yes,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,,Yes,,Yes,Conservative title/abstract coding; full-text verification required
C008,"Knowledge Explorer: An Agentic AI Framework for Interactive, Personalized and Multilingual Learning Experience",,Yes,,,,Yes,,Yes,Yes,Yes,,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
C009,Generating Context-Aware Learning Materials for Software Security via LLM Agents and Traceability,,Yes,,,,,,,Yes,,,,,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
C010,MultiTutor: Collaborative LLM Agents for Multimodal Student Support,,Yes,,,,Yes,,,,Yes,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
C011,Personalized Language Learning: A Multi-Agent System Leveraging LLMs for Teaching Luxembourgish,,Yes,,,,Yes,,Yes,Yes,Yes,,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
C012,CollabPersona: A Framework for Collaborative Decision Analysis in Persona Driven LLM-Based Multi-Agent Systems,,Yes,,,,Yes,Yes,Yes,Partial,Yes,Yes,Yes,,Yes,,,,Yes,,,Conservative title/abstract coding; full-text verification required
C013,DentEval: Fine-tuning-Free Expert-Aligned Assessment in Dental Education via LLM Agents,,Yes,,,,,,Yes,,Yes,,Yes,,,,,,Yes,,Yes,Conservative title/abstract coding; full-text verification required
C014,Compound AI System for Personalized Learning: Integrating LLM Agents with Knowledge Graphs,,Yes,,,,Yes,,Yes,Partial,Yes,Yes,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
C015,Nemobot: Crafting Strategic Gaming LLM Agents for K-12 AI Education,,Yes,,,,,Yes,Yes,,,,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
C016,"Open Models, Closed Minds? On Agents Capabilities in Mimicking Human Personalities through Open Large Language Models",Yes,Yes,,,,Yes,,,,Yes,,,,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
C017,Single-agent vs. Multi-agent LLM Strategies for Automated Student Reflection Assessment,,Yes,,,,,,,,,,,Yes,,,,,Yes,,Yes,Conservative title/abstract coding; full-text verification required
C018,Optimizing Educational Program Admissions: LLM Multi-Agent Approach,Yes,Yes,,,,Yes,,,Yes,Yes,,,Yes,,Yes,,,Yes,Yes,,Conservative title/abstract coding; full-text verification required
C019,Exploring Communication Strategies for Collaborative LLM Agents in Mathematical Problem-Solving,,Yes,,,Yes,,,,,Yes,,,Yes,,,,,,,,Conservative title/abstract coding; full-text verification required
C020,Harnessing Multi-Agent LLMs for Complex Engineering Problem-Solving: A Framework for Senior Design Projects,,Yes,Yes,,,Yes,Yes,Yes,Partial,Yes,,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
C021,OSC: Cognitive Orchestration through Dynamic Knowledge Alignment in Multi-Agent LLM Collaboration,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,Conservative title/abstract coding; full-text verification required
C022,Personality-Aware Multiagent Large Language Models for Strategic Interactions in Polymatrix Games,Yes,,Yes,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
C023,Generative Agents for Realistic Mobile Computing and User Behaviour Case,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
C024,"Enhancing Generative Agents in Social Simulations: Bridging Memory, Emotion, and Governance for Realistic Social Simulations",,,Yes,Yes,,Yes,,Yes,,,Yes,Yes,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
C025,ChatFive: Enhancing User Experience in Likert Scale Personality Test through Interactive Conversation with LLM Agents,Yes,Yes,,,,Yes,,,,Yes,,,,,Yes,,,Yes,,Yes,Conservative title/abstract coding; full-text verification required
C026,MockLLM: A Multi-Agent Behavior Collaboration Framework for Online Job Seeking and Recruiting,,Yes,,,,,,,Partial,Yes,Yes,,Yes,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
C027,LLM-powered Multi-agent Framework for Goal-oriented Learning in Intelligent Tutoring System,,Yes,,,,Yes,,,Partial,Yes,,,,,,,,,,Yes,Conservative title/abstract coding; full-text verification required
C028,Surveying with AI: Simulating Human Responses Using Personalized LLM Agents and Social Media Data,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,Conservative title/abstract coding; full-text verification required
C029,MindScope: Exploring Cognitive Biases in Large Language Models Through Multi-Agent Systems,Yes,Yes,,,Yes,,,Yes,Partial,,,Yes,Yes,,,,,,Yes,,Conservative title/abstract coding; full-text verification required
C030,EduMAS: A Novel LLM-Powered Multi-Agent Framework for Educational Support,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
C031,Simulating Cooperative Prosocial Behavior with Multi-Agent LLMs: Evidence and Mechanisms for AI Agents to Inform Policy Decisions,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
C032,Evaluation of an LLM-Powered Student Agent for Teacher Training,,Yes,,,,Yes,,,,Yes,Yes,,,,,,,,,Yes,Conservative title/abstract coding; full-text verification required
C033,Modeling Cross-Disciplinary Communication in Smart Education via Generative Agent,,Yes,,,,Yes,,,,Yes,Yes,,,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
C034,An LLM-Enhanced Multi-agent Architecture for Conversation-Based Assessment,,Yes,,,,,,,,,,,,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
C035,Exploring LLM Agents as Interactive Mind Map Creators Tailored for Students with ADHD,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
C036,GenSim: A General Social Simulation Platform with Large Language Model based Agents,,,Yes,,,Yes,,Yes,,,,Yes,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
C037,Simulating Social Network with LLM Agents: An Analysis of Information Propagation and Echo Chambers,,,Yes,,,,,Yes,,,Yes,Yes,Yes,,,,,,,,Conservative title/abstract coding; full-text verification required
C038,Integrating Local LLMs and Multi-Agent Intelligence for Personalized Eldercare,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,Conservative title/abstract coding; full-text verification required
C039,Trustworthy AI Psychotherapy: Multi-Agent LLM Workflow for Counseling and Explainable Mental Disorder Diagnosis,Yes,,,Yes,,,,,Yes,,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
C040,Simulating Strategic Reasoning: Comparing the Ability of Single LLMs and Multi-Agent Systems to Replicate Human Behavior,,,,Yes,,Yes,Yes,,,Yes,,,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
C041,Evaluating the Predictability of Disaster Evacuation Behavior using LLM Agent Simulations,,,Yes,,,Yes,,Yes,,Yes,,Yes,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
C042,Evaluating Theory of Mind and Internal Beliefs in LLM-Based Multi-agent Systems,,,,Yes,,,,,,,,,Yes,Yes,Yes,,,,,,Conservative title/abstract coding; full-text verification required
C043,ExpertEase: A Multi-Agent Framework for Grade-Specific Document Simplification with Large Language Models,,Yes,,,,,,,Partial,Yes,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
C044,EvaAI: A Multi-agent Framework Leveraging Large Language Models for Enhanced Automated Grading,,Yes,,,,,,Yes,Partial,Yes,,Yes,,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
C045,Simulating Oxford-Style Debates with LLM-Based Multi-Agent Systems,,Yes,,,Yes,,,,Partial,,,,Yes,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
C046,Generating AI Literacy MCQs: A Multi-Agent LLM Approach,,Yes,,,Yes,,,,Yes,,,,Yes,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
C047,Deciphering Digital Detectives: Understanding LLM Behaviors and Capabilities in Multi-Agent Mystery Games,,,,,,,Yes,,,Yes,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
C048,Can Large Language Model Agents Simulate Human Trust Behavior?,,,,Yes,,,Yes,,,Yes,,,,,,,Yes,,Yes,,Conservative title/abstract coding; full-text verification required
